patent_type,composition_subtype,cmc_subtype,clinical_indications,clinical_population,reasoning_short,lens_id,error
Composition,Full ADC,,[],[],"The primary claim of the patent is directed towards an antibody-drug conjugate (ADC) comprising a PD-L1 antibody and a TLR7 agonist, which specifies the antibody, linker, and payload components. This classifies it as a 'Full ADC' under the composition category.",130-524-430-110-148,
Composition,Conjugated Antibody,,[],[],"The primary focus of the patent is on anti-TROP2 antibodies and their use in ADCs, with detailed claims on the antibody sequences. The claims specify the antibody component, while the linker and payload are broadly defined, classifying it as a 'Conjugated Antibody'.",154-963-898-241-907,
Clinical,,,"['cancer', 'autoimmune disease', 'CD20 positive cancer', 'hematological malignancy', 'lymphoma', 'leukemia', 'chronic lymphocytic leukemia', ""non-Hodgkin's lymphoma"", 'follicular lymphoma', 'marginal zone lymphoma', 'mantle cell lymphoma', 'Diffuse large B-cell lymphoma', 'Burkitt lymphoma', 'Rheumatoid Arthritis', 'Granulomatosis with Polyangiitis', 'Microscopic Polyangiitis', 'pemphigus vulgaris', 'thrombotic thrombocytopenic purpura', 'Rasmussen encephalitis']",[],"The patent's broadest independent claim focuses on a method of treating cancer or autoimmune diseases using a combination of a SUMO-activating enzyme inhibitor and an anti-CD20 antibody. Therefore, it is classified under 'Clinical' with specific indications extracted from the claims.",048-451-572-092-583,
Clinical,,,"['multiple myeloma', 'cancer']","['relapsed multiple myeloma', 'refractory multiple myeloma']","The patent's broadest independent claims focus on methods of treating multiple myeloma and cancer using a bispecific antibody. The claims detail specific dosing regimens and combination therapies, indicating a clinical focus.",101-504-411-124-675,
Composition,Unconjugated Antibody,,[],[],"The primary focus of the patent is on the anti-HER2 affibody, which is an unconjugated antibody intermediate. The claims detail the specific amino acid sequences of the affibody, indicating it as the main inventive concept.",003-906-692-220-477,
Clinical,,,['multiple myeloma'],[],The patent's broadest independent claims focus on methods of killing multiple myeloma cells using an ADC targeting BCMA. This indicates a primary focus on clinical applications rather than the composition of the ADC itself.,021-687-538-518-692,
Composition,Conjugated Linker,,[],[],"The primary focus of the patent is on a compound that includes a conjugated linker, which connects an antibody binding moiety, a cell binding moiety, and a Toll-like receptor agonist. The claims detail the chemical structure of the linker and its connections, indicating a 'Conjugated Linker' subtype.",023-086-043-191-762,
Composition,Conjugated Antibody,,[],[],"The primary focus of the patent is on isolated antibodies that bind to CD74 and their conjugation to therapeutic moieties. The broadest independent claims are directed towards the antibodies themselves, with specific sequences and binding properties, and their potential conjugation, making it a 'Conjugated Antibody' composition.",025-916-184-405-392,
Clinical,,,['head and neck squamous cell carcinoma'],"['recurrent and/or metastatic', 'platinum-refractory']","The patent's primary focus is on methods of treating head and neck squamous cell carcinoma using a combination of IL-2 conjugates and cetuximab. The claims detail specific patient populations, such as those with recurrent, metastatic, or platinum-refractory HNSCC.",049-026-041-812-00X,
Composition,Conjugated Payload,,[],[],"The primary claim is directed to a composition comprising a prodrug with a cytotoxic agent conjugated to a hydrophilic moiety, along with an immunomodulator. The focus is on the payload (cytotoxic agent) being conjugated, while the other components are broadly defined.",071-394-537-940-984,
Clinical,,,['ovarian cancer'],[],The primary claim is a method of treating ovarian cancer using a combination of chemotherapeutic agents and an anti-STn antibody. This indicates a focus on clinical treatment methods rather than composition or manufacturing aspects.,083-162-311-862-066,
CMC,,Formulation/Stability,[],[],"The primary focus of the patent is on the formulation of an aqueous composition containing an antibody-drug conjugate. The claims detail specific components and conditions of the formulation, indicating a focus on formulation and stability aspects rather than the composition of the ADC itself or clinical applications.",095-013-072-758-654,
Composition,,,[],[],"The primary focus of the patent is on a pharmaceutical composition comprising a hyaluronic acid derivative and an antigen for use with lymphocytes. The broadest independent claim is directed to the composition itself, rather than a specific method of treatment or clinical application.",082-192-942-664-649,
Clinical,,,"['squamous cell carcinoma of the head and neck', 'lung cancer', 'esophageal cancer']","['recurrent and/or metastatic SCCHN', 'subjects with detectable expression level of PD-L1', 'subjects previously treated with a platinum-based chemotherapeutic agent and a non-platinum-based chemotherapeutic agent']","The patent's broadest independent claim focuses on methods of treating specific cancers using an anti-TIGIT antagonist antibody in combination with a PD-1 axis binding antagonist. The claims detail specific dosing regimens and patient populations, indicating a clinical focus.",095-818-220-815-197,
Composition,Conjugated Antibody,,[],[],"The primary claim is directed to an antibody or antigen-binding fragment that binds to BCMA, with a specific mention of conjugation with an anti-cancer drug. This indicates a focus on the antibody component of an ADC, making it a 'Conjugated Antibody' subtype.",093-214-768-613-11X,
Composition,Unconjugated Antibody,,[],[],"The patent primarily claims compositions comprising RNA encoding antibody chains, focusing on the production of assembled antibodies. The claims do not specify a linker or payload, indicating an unconjugated antibody composition.",137-670-001-159-242,
Composition,Full ADC,,[],[],"The primary claim of the patent is directed towards an antibody-polymer-drug conjugate, which includes a targeting antibody, a polymer, and a therapeutic agent. This indicates a full ADC composition as it specifies all three components: antibody, linker (polymer), and payload (therapeutic agent).",149-294-063-356-435,
Composition,Unconjugated Payload,,[],[],"The patent claims focus on novel macrocyclic compounds and their salts, which are described as having therapeutic effects. The claims do not specify any conjugation with antibodies or linkers, indicating that the primary inventive concept is an unconjugated payload.",157-270-927-298-337,
Composition,Full ADC,,[],[],"The primary claim is directed to an immunoconjugate comprising an anti-EGFR antibody and a kinase inhibitor, which specifies the antibody, linker, and payload components. This classifies the patent as a 'Full ADC' under the 'Composition' category.",179-698-917-483-710,
Composition,Full ADC,,[],[],"The primary claim of the patent is directed towards an antibody-drug conjugate (ADC) that specifies the antibody, linker, and payload components. This indicates a 'Full ADC' composition subtype as all three components are defined in the claims.",188-423-393-345-213,
Composition,Dual Combination,,[],[],"The primary claim is directed to a combined pharmaceutical composition comprising an anti-PD-L1 antibody and a c-Met kinase inhibitor. This indicates a dual combination of two active components, which fits the 'Dual Combination' subtype under 'Composition'.",195-706-932-323-368,
Composition,Conjugated Antibody,,[],[],"The primary focus of the patent is on the anti-CD3 antibody with non-natural amino acids, which is conjugated to a folate moiety. The claims detail the specific sequences and modifications of the antibody, indicating a 'Conjugated Antibody' subtype.",143-412-544-585-390,
Composition,Conjugated Antibody,,[],[],"The patent primarily claims an antibody and its conjugation to a drug, with specific focus on the antibody's variable regions and its ability to bind CD73. The claims detail the antibody structure and its conjugation, but the linker and payload are broadly defined, making it a 'Conjugated Antibody' subtype.",076-443-207-661-325,
Composition,Full ADC,,[],[],"The primary focus of the patent is on a cytotoxic conjugate comprising a specific antibody that binds to the CA6 glycotope and a cytotoxic agent, which fits the definition of a full ADC. The claims detail the antibody, linker, and payload components, indicating a complete ADC construct.",005-140-052-551-100,
Composition,Conjugated Antibody,,[],[],"The primary focus of the patent is on antibodies and antigen-binding fragments that specifically bind to c-Met, which are used in various forms including immunoconjugates. The claims detail the structure of these antibodies, indicating a 'Conjugated Antibody' subtype as the linker and payload are broadly defined.",022-254-208-574-272,
Composition,Full ADC,,[],[],"The primary claim of the patent is directed towards an antibody-drug conjugate (ADC) composition, specifying the antibody, linker, and payload components. The claims detail the structure of the ADC, including the anti-CD19 antibody, the linker, and the active agents, which classifies it as a 'Full ADC'.",028-171-626-197-013,
Composition,Unconjugated Antibody,,[],[],"The primary focus of the claims is on the specific sequences of an antibody that binds to CD79b. The claims detail the structure of the antibody, indicating it is an unconjugated antibody composition.",036-921-102-342-857,
Clinical,,,"['metastatic cancer', 'cardiovascular disease', 'central nervous system disease', 'multiple sclerosis', 'pain']","['metastatic breast cancer', 'metastatic prostate cancer', 'metastatic bone cancer']","The patent's broadest independent claims focus on methods of treating various diseases using the specified compounds. The claims include specific disease indications and patient populations, indicating a clinical focus.",039-240-885-909-72X,
Composition,Conjugated Linker,,[],[],"The primary focus of the patent is on the composition of heterobifunctional molecules, specifically the linker component that connects a target cell-surface protein to an exogenous antibody. The claims detail various linker structures, making it a 'Conjugated Linker' subtype.",049-509-258-293-614,
Clinical,,,"['MUC16-positive cancer', 'ovarian cancer', 'endometrial cancer', 'triple-negative breast cancer', 'pancreatic cancer', 'non-small cell lung cancer', 'platinum-resistant ovarian cancer']",[],The patent's broadest independent claim focuses on a method of treating MUC16-positive cancers by monitoring HE4 expression and administering a MUC16 antagonist. The claims are centered around clinical treatment methods rather than the composition of the drug or its manufacturing process.,041-991-305-746-899,
Composition,Full ADC,,[],[],"The primary claim of the patent is directed towards an antibody-drug conjugate (ADC) that includes a specific antibody targeting NaPi2b, a linker, and a camptothecin analogue payload. This indicates a 'Full ADC' composition subtype as all three components are specified in the claims.",075-283-417-251-117,
Composition,Full ADC,,[],[],"The primary claim is directed to a pharmaceutical composition comprising an antibody-drug conjugate with specific components, including a drug-linker conjugated to an antibody. This indicates a 'Full ADC' as it specifies the antibody, linker, and payload components together.",056-249-744-615-207,
Clinical,,,['breast cancer'],"['HER2-positive', 'HR-positive', 'resectable', 'partially resectable', 'unresectable', 'locally advanced', 'metastatic']","The patent's main focus is on a method of treating breast cancer using a bispecific anti-HER2 antigen-binding construct in combination with other therapies. The claims detail specific dosing regimens and patient populations, indicating a clinical focus.",057-558-265-613-314,
Clinical,,,"['ErbB-2 positive tumor', 'ErbB-3 positive tumor', 'ErbB-2/ErbB-3 positive tumor']","['brain tumor', 'metastasis of a breast tumor']","The broadest independent claims focus on methods of treating individuals with ErbB-2, ErbB-3, or ErbB-2/ErbB-3 positive tumors, including specific populations such as those with brain tumors or metastasis of breast tumors. The claims emphasize clinical applications rather than the composition of the antibodies or drug conjugates.",075-965-808-977-634,
Composition,Conjugated Antibody,,[],[],"The primary focus of the patent is on a bi-specific antibody that binds to digoxigenin and a target protein. The claims detail the specific sequences and structures of the antibody, indicating it is a conjugated antibody with a defined binding specificity, but do not specify a linker or payload.",087-043-608-940-049,
Clinical,,,"['cancer', 'multiple myeloma']","['relapsed and/or refractory multiple myeloma', 'patients with at least one prior line of cancer treatment', 'patients with at least 3 prior lines of cancer treatment including an immunomodulatory drug, a proteasome inhibitor, and anti-CD38 treatment']","The primary focus of the patent is on a method of treating cancer using a combination therapy involving an anti-BCMA antibody and a gamma-secretase inhibitor. The claims detail specific dosing regimens and patient populations, indicating a clinical focus.",073-255-551-715-014,
Composition,Conjugated Antibody,,[],[],"The primary focus of the patent is on binding molecules, specifically antibodies, that bind to L1CAM. The claims detail the structure of these antibodies and their potential conjugation to therapeutic or diagnostic agents, indicating a 'Conjugated Antibody' subtype.",087-198-537-832-185,
Clinical,,,"['cancer', 'breast cancer', 'prostate cancer', 'ovarian cancer', 'endometrial cancer', 'pancreatic cancer', 'lung cancer', 'cervical cancer', 'melanoma', 'squamous cell carcinoma']","['triple negative breast cancer', 'triple positive breast cancer', 'HER2-positive breast cancer', 'hormone receptor positive cancer']","The patent's broadest independent claim focuses on a method of treating cancer using a LIV-1 ADC in combination with a chemotherapeutic, indicating a clinical focus. The claims specify various cancer types and specific breast cancer subtypes, highlighting the clinical indications and populations targeted.",096-422-756-004-806,
Composition,Full ADC,,[],[],"The primary claim is directed to a conjugate of formula (Ia), which includes an antibody, linker, and payload, indicating a full ADC composition. The method of treatment claim is dependent on the composition claim, making the composition the broadest independent claim.",108-174-859-155-766,
Clinical,,,"['myelodysplastic syndrome', 'acute myeloid leukemia']","['relapsed or refractory MDS', 'relapsed or refractory AML']","The primary focus of the patent is on methods of treating specific cancers using a combination of a nonfucosylated anti-CD70 antibody and a CD47 antagonist. The claims detail treatment regimens and outcomes, indicating a clinical focus.",130-206-196-362-617,
Clinical,,,"['cancer', 'mesothelioma', 'breast cancer', 'head and neck cancer', 'leukocytic cancer', 'liver cancer', 'ovarian cancer', 'bladder cancer', 'prostatic cancer', 'skin cancer', 'bone cancer', 'brain cancer', 'leukemia cancer', 'lung cancer', 'colon cancer', 'anal cancer', 'CNS cancer', 'melanoma cancer', 'renal cancer', 'cervical cancer', 'esophageal cancer', 'testicular cancer', 'splenic cancer', 'kidney cancer', 'lymphatic cancer', 'pancreatic cancer', 'stomach cancer', 'leukemia', 'lymphoma', 'myeloma', 'gastrointestinal cancer', 'thyroid cancer']",[],"The primary claim is a method of treating cancer using a fusion protein and an anti-chemorepellant agent, indicating a focus on clinical application. The patent lists various types of cancers as indications for treatment.",121-401-879-896-324,
Clinical,,,"['lymphoma', 'Hodgkin lymphoma', 'mature B-cell neoplasm', 'mature T cell neoplasm']",[],"The patent's broadest independent claims focus on methods for treating lymphomas using a specific composition. The claims detail the treatment of various types of lymphomas, indicating a clinical focus.",132-182-982-888-375,
Clinical,,,"['cancer', 'ovarian cancer', 'brain cancer', 'breast cancer', 'uterine cancer', 'endometrial cancer', 'pancreatic cancer', 'renal cancer', 'lung cancer', 'non small cell lung cancer', 'bronchioloalveolar carcinoma', 'epithelial ovarian cancer']","['platinum resistant', 'relapsed', 'refractory']","The patent's primary focus is on methods of treatment using an anti-FOLR1 immunoconjugate, specifically detailing dosing regimens for various cancers. The claims are centered around clinical applications rather than the composition of the immunoconjugate itself.",139-563-449-686-349,
Clinical,,,"['neuroendocrine cancer', 'pancreatic cancer']",[],The primary focus of the patent is on methods of treating provasopressin-expressing cancers using specific antibodies. The claims are centered around therapeutic methods rather than the composition of the antibodies themselves.,138-334-140-897-45X,
Clinical,,,"['CLD18A2-positive tumor', 'breast cancer', 'colon cancer', 'rectal cancer', 'renal cell carcinoma', 'liver cancer', 'lung cancer', 'gastric cancer', 'small bowel cancer', 'esophageal cancer', 'melanoma', 'bone cancer', 'pancreatic cancer', 'skin cancer', 'head and neck cancer', 'ovarian cancer', 'anal cancer', 'testicular cancer', 'uterine cancer', 'fallopian tube cancer', 'endometrial cancer', 'cervical cancer', 'vaginal cancer', ""Hodgkin's lymphoma"", ""non-Hodgkin's lymphoma"", 'endocrine system cancer', 'thyroid cancer', 'parathyroid cancer', 'adrenal cancer', 'soft tissue sarcoma', 'urethral cancer', 'penile cancer', 'bladder cancer', 'kidney cancer', 'ureter cancer', 'renal pelvis cancer', 'central nervous system tumor', 'primary CNS lymphoma', 'spinal tumor', 'brain stem glioma', 'pituitary adenoma', ""Kaposi's sarcoma"", 'epidermoid carcinoma', 'squamous cell carcinoma', 'digestive tract tumor', 'adenocarcinoma']",[],"The primary focus of the patent is on a method for treating CLD18A2-positive tumors using immune effector cells, which is indicative of a clinical application. The claims detail a treatment regimen involving specific dosing and pretreatment, emphasizing the clinical aspect over composition.",144-133-024-464-127,
Composition,Conjugated Antibody,,[],[],"The primary focus of the patent is on polypeptides that specifically bind to CXCR6, which are conjugated to therapeutic or diagnostic agents. The claims emphasize the antibody component, making it a 'Conjugated Antibody' subtype.",147-646-446-954-110,
Clinical,,,"[""Hodgkin's Lymphoma"", ""non-Hodgkin's Lymphoma"", 'diffuse large B-cell lymphoma', 'follicular lymphoma', 'Mantle Cell lymphoma', 'chronic lymphatic lymphoma', 'Marginal Zone B-cell lymphoma', 'Hairy cell leukemia', 'Hairy cell leukemia variant', 'Acute Myeloid Leukaemia', 'Acute Lymphoblastic Leukaemia', 'Philadelphia chromosome-positive ALL', 'Philadelphia chromosome-negative ALL', 'pancreatic cancer', 'breast cancer', 'colorectal cancer', 'gastric cancer', 'oesophageal cancer', 'melanoma', 'non-small cell lung cancer', 'ovarian cancer', 'hepatocellular carcinoma', 'renal cell carcinoma', 'head and neck cancer']",[],"The patent's primary focus is on a method of treating cancer using an ADC in combination with a secondary agent, which classifies it under 'Clinical'. The claims specify various cancer types as indications for the treatment method.",165-930-486-335-307,
Composition,Full ADC,,[],[],"The primary claim is directed to an immunoconjugate comprising an antibody covalently attached to aminobenzazepine moieties via a linker, which constitutes a full ADC. The method of treatment claims are secondary to the composition claims.",173-348-652-693-852,
Composition,Unconjugated Antibody,,[],[],"The primary focus of the claims is on isolated antibodies that specifically bind to human CD96. The claims detail the structure of these antibodies, but do not specify any conjugation with linkers or payloads, making it an 'Unconjugated Antibody' composition.",170-682-824-984-299,
Clinical,,,['platinum refractory cancer'],[],"The primary claim is a method of treating platinum refractory cancer using an antibody-drug conjugate. The focus is on the clinical application of the ADC for specific cancer types, making it a clinical patent.",179-930-627-655-215,
Clinical,,,"['ovarian cancer', 'colorectal cancer', 'breast cancer', 'lung cancer', 'kidney cancer', 'pancreatic cancer', 'mesothelioma', 'lymphoma', 'liver cancer', 'urothelial cancer', 'stomach cancer', 'glioblastoma multiforme', 'glioma', 'neuroblastoma', 'head and neck cancer', 'cervical cancer']",[],"The primary focus of the patent is on a method of treating cancer using a combination therapy, which classifies it under 'Clinical'. The claims specify various cancer types as indications for the treatment method.",056-941-238-874-645,
Composition,Full ADC,,[],[],"The primary claim of the patent is directed towards a ligand-drug conjugate of a specific formula, which includes an anti-TROP-2 antibody, a linker, and a payload (exatecan analog). This indicates that the patent is focused on the composition of a full ADC, specifying all three components: antibody, linker, and payload.",191-566-993-315-874,
Clinical,,,['metastatic brain tumor'],[],The primary focus of the patent is on a method of treating metastatic brain tumors using an antibody-drug conjugate. The claims are centered around the therapeutic application rather than the composition of the ADC itself.,123-293-914-814-580,
Composition,Full ADC,,[],[],"The primary focus of the patent is on the composition of an anti-CD79B antibody-drug conjugate, which includes a specified antibody, linker, and payload. The claims detail the structure and components of the ADC, making it a 'Full ADC' composition subtype.",170-572-078-603-759,
Clinical,,,"['hematologic malignancy', 'non-Hodgkin lymphoma', 'diffuse large B cell lymphoma']",['relapsed/refractory DLBCL'],"The patent's broadest independent claim focuses on a method of treating hematologic malignancies, specifically targeting diffuse large B cell lymphoma (DLBCL) using a combination of PD-L1/PD-1 inhibitors and T cell activation therapeutics. It includes specific patient populations such as relapsed/refractory DLBCL.",127-177-073-119-408,
Composition,Full ADC,,[],[],"The primary focus of the patent is on the drug conjugate structure, which includes an antibody, linker, and payload. The broadest independent claim describes a full ADC construct, making it a composition patent with a 'Full ADC' subtype.",028-694-161-976-860,
CMC,,Conjugation Method,[],[],"The patent primarily focuses on a method for producing an antibody-drug conjugate, detailing steps for conjugation and purification. The claims emphasize the process of conjugating a drug-linker to an antibody, which aligns with the 'Conjugation Method' subtype under CMC.",005-820-494-457-161,
Composition,Unconjugated Antibody,,[],[],"The primary focus of the patent is on a bispecific antibody composition targeting ICD markers and dendritic cell markers. The claims detail the structure and binding domains of the antibody, classifying it as an unconjugated antibody composition.",017-700-283-338-321,
Clinical,,,"['cancers', 'bacterial infections', 'viral infections', 'HIV infection', 'sepsis']",[],"The primary focus of the patent is on methods of treatment using combinations of T-cell checkpoint inhibitors with other inhibitors. The claims are centered around therapeutic methods rather than specific compositions, indicating a clinical patent type.",026-075-834-972-878,
Composition,Full ADC,,[],[],"The patent's broadest independent claim is directed to an antibody that binds to GP73, and the claims include immunoconjugates comprising this antibody and a cytotoxic agent. This indicates a focus on a full ADC construct, specifying the antibody, linker, and payload components.",057-041-992-529-782,
Composition,Full ADC,,[],[],"The primary claim is directed to a binder-drug conjugate comprising a cell binding moiety, a drug moiety, and a linker moiety, which together form a complete ADC construct. The claims specify the components of the ADC, including the antibody, linker, and payload, indicating a 'Full ADC' composition subtype.",066-716-730-964-433,
Clinical,,,"['cancer associated with HER-3', 'breast cancer', 'ovarian cancer', 'prostate cancer', 'colon cancer', 'renal cancer', 'lung cancer', 'pancreatic cancer', 'epidermoid carcinoma', 'fibrosarcoma', 'melanoma', 'head and neck cancer', 'nasopharyngeal carcinoma', 'squamous cell carcinoma']",[],"The primary focus of the patent is on methods of treating HER-3 associated cancers using a combination of agents, which classifies it under 'Clinical'. The claims detail specific cancer types being treated, indicating the clinical indications.",101-926-049-002-981,
Composition,,,[],[],"The primary focus of the patent is on engineered immune cells, which are compositions comprising prodrug converting enzymes and receptors for adoptive cell therapy. The broadest independent claim is directed to the composition of these engineered immune cells, making it a 'Composition' patent.",109-199-829-112-519,
Clinical,,,"['cancer', 'kidney cancer', 'melanoma', 'squamous cell cancer', 'basal cell cancer', 'conjunctival cancer', 'oral cancer', 'larynx cancer', 'throat cancer', 'thyroid cancer', 'lung cancer', 'breast cancer', 'esophageal cancer', 'stomach cancer', 'duodenum cancer', 'small intestine cancer', 'large intestine cancer', 'rectal cancer', 'appendix cancer', 'anus cancer', 'liver cancer', 'gallbladder cancer', 'bile duct cancer', 'pancreatic cancer', 'adrenal cancer', 'urinary bladder cancer', 'prostate cancer', 'uterine cancer', 'vaginal cancer', 'liposarcoma', 'angiosarcoma', 'chondrosarcoma', 'rhabdomyosarcoma', ""Ewing's sarcoma"", 'osteosarcoma', 'undifferentiated pleomorphic sarcoma', 'myxofibrosarcoma', 'malignant peripheral nerve sheath tumor', 'retroperitoneal sarcoma', 'synovial sarcoma', 'uterine sarcoma', 'gastrointestinal stromal tumor', 'leiomyosarcoma', 'epithelioid sarcoma', 'B cell lymphoma', 'T/NK cell lymphoma', ""Hodgkin's lymphoma"", 'myeloid leukemia', 'lymphoid leukemia', 'myeloproliferative disease', 'myelodysplastic syndrome', 'multiple myeloma', 'testicle cancer', 'ovary cancer']",[],"The patent's broadest independent claim focuses on a pharmaceutical composition for treating or preventing cancer using a combination of a multispecific antibody and an immune checkpoint inhibitor or chemotherapeutic. This indicates a primary focus on clinical applications, specifically combination therapies for various cancer types.",127-460-418-642-987,
Composition,Unconjugated Payload,,[],[],"The primary focus of the patent is on a benzamide derivative compound, which is a small molecule drug, as indicated by the composition claims. The claims do not specify an antibody or linker, thus classifying it as an 'Unconjugated Payload'.",126-592-483-016-120,
Clinical,,,"['unresectable solid tumor', 'recurrent solid tumor', 'advanced solid tumor', 'head and neck squamous cell carcinoma', 'colorectal cancer', 'non-small-cell lung cancer', 'esophageal adenocarcinoma', 'triple-negative breast cancer', 'renal cell carcinoma', 'gastric cancer', 'pancreatic cancer']","['intolerant of standard therapies', 'previously received anti-PD-1 or anti-PD-L1 therapy', 'recurrent or progressive disease during or after platinum doublet-based chemotherapy', 'recurrent or progressive disease within 6 months after completing platinum-based chemotherapy for local disease', 'relapsed or metastatic', 'radiographic disease progression while on or after having received pembrolizumab and platinum/5FU, pembrolizumab monotherapy, or platinum/5FU and cetuximab', 'does not have high mismatch repair/microsatellite instability', 'not had prior treatment with an anti-PD-1 or an anti-PD-L1 therapy']","The patent primarily claims methods of treating various cancers using a multi-specific binding protein. The claims focus on specific cancer indications and patient populations, indicating a clinical focus rather than composition or CMC aspects.",154-251-415-879-709,
Composition,Unconjugated Antibody,,[],[],"The patent primarily claims compounds for treating diseases by inhibiting specific proteins, with a focus on monoclonal antibodies targeting growth hormone receptors. The broadest independent claim is for a compound, indicating a composition patent, specifically for unconjugated antibodies.",156-267-373-886-335,
Clinical,,,['multiple myeloma'],"['relapsed or refractory', 'adult patients', 'patients who have received at least four prior therapies']","The patent primarily focuses on methods of treating relapsed or refractory multiple myeloma using an approved product, teclistamab-cqyv. The claims detail specific dosing regimens and patient populations, indicating a clinical focus.",192-523-252-235-400,
Composition,Full ADC,,[],[],"The primary claim of the patent is directed towards an antibody-drug conjugate (ADC) comprising an anti-CEA antibody, a linker, and a payload (exatecan analog). This indicates a 'Full ADC' composition subtype as it specifies all three components of the ADC construct.",156-245-853-160-499,
Composition,Full ADC,,[],[],"The primary claim of the patent is directed to an immunoconjugate of Formula (I), which specifies an antibody, linker, and drug payload, indicating a full ADC composition. The method-of-treatment claims are secondary to the composition claims.",055-600-880-125-842,
Clinical,,,"['glioblastoma multiform', 'myelodysplastic syndrome', 'metastatic adenocarcinoma', 'metastatic carcinoma of the colon or rectum', 'small cell lung cancer', 'non-small cell lung cancer', 'soft tissue sarcoma', 'squamous cell cancer of head and neck', ""non-Hodgkin's lymphoma"", 'colorectal cancer', 'bladder cancer', 'prostate cancer', 'duodenal cancer', 'esophageal cancer', 'pancreatic cancer', 'multiple myeloma', 'gynecologic tumors']",[],"The primary focus of the patent is on a method of treating cancer using AR-67, which is a clinical application. The claims specify various cancer types as indications for treatment, making it a 'Clinical' patent type.",039-123-740-442-302,
Clinical,,,"['cancer resistant to immunotherapy', 'lung cancer', 'breast cancer']","['non-small cell lung cancer (NSCLC)', 'triple-negative breast cancer (TNBC)']","The patent's broadest independent claims focus on methods of treating cancer using castalagin or its analogs, particularly in cases resistant to immunotherapy. The claims specify treatment of specific cancer types and patient populations, indicating a clinical focus.",032-240-698-890-336,
Composition,,,[],[],The patent primarily claims a stealth lipid nanoparticle (LNP) composition containing a therapeutic nucleic acid and various lipid components. The claims focus on the composition of the LNP rather than methods of treatment or manufacturing processes.,068-230-383-052-01X,
Composition,Full ADC,,[],[],"The primary claim is directed to a conjugate comprising an antibody conjugated with one or more drug molecules, specifying the antibody, linker, and payload components. This indicates a 'Full ADC' composition subtype as all three components are defined in the claims.",104-344-649-646-237,
Composition,Conjugated Antibody,,[],[],"The broadest independent claim (claim 183) focuses on an isolated antibody that binds to specific C10orf54 proteins. The patent also includes claims for an antibody-drug conjugate, but the primary inventive concept is the specific antibody, making it a 'Conjugated Antibody' subtype.",096-631-061-251-385,
Clinical,,,"['CD30+ cancer', 'Hodgkin lymphoma', 'non-Hodgkin lymphoma', 'peripheral T-cell lymphoma', 'cutaneous T cell lymphoma', 'anaplastic large-cell lymphoma', 'CD30+B-cell lymphoma', 'multiple myeloma', 'leukemia']","['relapsed after treatment with or refractory to an anti-CD30 antibody', 'experienced disease progression after treatment with autologous stem cell transplant or CAR-T']","The primary focus of the patent is on methods for treating CD30+ cancers using NK cells and bispecific antibodies, which falls under the 'Clinical' category. The claims detail specific cancer indications and patient populations, such as those relapsed or refractory to certain treatments.",091-374-489-017-120,
Composition,Conjugated Payload,,[],[],"The primary focus of the patent is on a cytotoxic compound, which is a payload component of an ADC. The claims detail the structure and variations of this payload, while the antibody and linker components are not specifically defined, indicating a 'Conjugated Payload' subtype.",098-175-696-421-524,
Clinical,,,"['breast cancer', 'lung cancer', 'colorectal cancer', 'neuroblastoma', 'pancreatic cancer', 'brain cancer', 'stomach cancer', 'skin cancer', 'testicular cancer', 'prostate cancer', 'ovarian cancer', 'liver cancer', 'esophageal cancer', 'cervical cancer', 'head and neck cancer', 'melanoma', 'glioblastoma']",['patients with NRG1 fusion'],"The patent primarily claims methods of treating cancer patients with NRG1 fusions using quinazoline-based TKIs, alone or in combination with anti-HER2/HER3 antibodies. The focus is on clinical treatment methods, making it a 'Clinical' patent type.",110-247-915-376-587,
Composition,Full ADC,,[],[],"The primary claim of the patent is directed towards an antibody-drug conjugate (ADC) comprising an anti-TROP-2 antibody, a linker, and an exitecan derivative payload. This indicates a 'Full ADC' composition as it specifies all three components of the ADC construct.",116-618-348-914-745,
Composition,Conjugated Payload,,[],[],"The patent's broadest independent claim focuses on anthracycline derivatives, which are payloads for ADCs. The claims detail the structure of these derivatives and their conjugation to target-binding molecules, indicating a focus on the payload component of ADCs.",123-092-805-602-828,
Composition,Dual Combination,,[],[],"The primary claim is directed to a pharmaceutical combination comprising an anti-LY75 antibody and Venetoclax, with the antibody potentially conjugated to a drug. This indicates a dual combination of an antibody and a payload, fitting the 'Dual Combination' subtype.",144-771-471-401-183,
Clinical,,,"['cancer', 'HER2-overexpressing gastric cancer', 'triple-negative breast cancer']",['cancer with low or moderate HER2 expression level'],"The patent's broadest independent claims focus on methods of treating cancer using multi-specific binding proteins, indicating a clinical focus. Specific cancer types and patient populations are claimed, such as HER2-overexpressing gastric cancer and triple-negative breast cancer.",167-828-992-892-116,
Composition,Conjugated Antibody,,[],[],"The primary focus of the patent is on a targeted carrier comprising an extracellular vesicle with a human leukocyte antigen-G antibody on its surface. This indicates a composition claim centered around the conjugated antibody, as the antibody is specified while the payload is broadly defined.",169-588-763-455-863,
Composition,Full ADC,,[],[],"The primary claim is directed to an immunoconjugate comprising an anti-ROR1 antibody, a linker, and an exatecan moiety, which classifies it as a 'Full ADC'. The method of treatment claims are dependent and not the broadest claims.",075-288-061-475-912,
